Vardas Pavardė,Pareigos,Laikotarpis,Ar išbuvo visą kadenciją?,Nuotraukos pavadinimas,Darinys
Urtė Akulavičiūtė,VU SA GMC pirmininkė,2025-05 – 2025-12,Ne,,VU SA Parlamentas
Ada Putrytė,VU SA GMC pirmininkė,2025-12 – 2026-05,,,VU SA Parlamentas
Urtė Vizgirdaitė,VU SA GMC atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Viktorija Amankavičiūtė,"VU SA GMC atstovė VU SA Parlamente
VU SA Parlamento pirmininkė",2025-05 – 2026-05,,,VU SA Parlamentas
Meda Andrulytė,VU SA IF pirmininkė,2025-05 – 2026-05,,,VU SA Parlamentas
Jokūbas Tvaska,VU SA IF studentų atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Simonas Voroblievas,VU SA IF studentų atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Akvilė Banytė,VU SA KF pirmininkė,2025-05 – 2026-05,,,VU SA Parlamentas
Gerda Kapočiūtė,VU SA KF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Austėja Stražinskaitė,VU SA KF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Rimantė Kelpšaitė,VU SA KnF pirmininkė,2025-05 – 2025-06,Ne,,VU SA Parlamentas
Evelina Martinkutė,VU SA KnF pirmininkė,2025-09 – 2026-05,,,VU SA Parlamentas
Gertrūda Leonavičiūtė,VU SA KnF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Kristina Dabrišiūtė,VU SA KnF studentų atstovė VU SA Parlamente,2025-09 – 2026-05,,,VU SA Parlamentas
Agata Bruzgul,VU SA MF pirmininkė,2025-05 – 2026-05,,,VU SA Parlamentas
Roberta Kirkliauskaitė,VU SA MF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Marharyta Sytaya,VU SA MF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Gintarė Antulytė,VU SA MIF pirmininkas,2025-05 – 2026-05,,,VU SA Parlamentas
Roberta Jurpalytė,VU SA MIF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Saulė Gylyte,VU SA MIF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Lukas Janiulis,VU SA ŠA pirmininkas,2025-05 – 2026-05,,,VU SA Parlamentas
Eglė Lukšytė,VU SA ŠA studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Povilas Kairaitis,VU SA ŠA studentų atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Andrius Viljmas Gontier,VU SA TF pirmininkas,2025-05 – 2026-05,,,VU SA Parlamentas
Lauryna Laurinaitytė,VU SA TF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Viltė Vozbutaitė,VU SA TF studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
